symbol,date,adjusted_close_price
0005.HK,2025-08-01,93.841
0005.HK,2025-08-08,96.747
0005.HK,2025-08-15,99.579
0005.HK,2025-08-22,100.572
0005.HK,2025-08-29,99.033
0005.HK,2025-09-05,101.366
0005.HK,2025-09-12,105.536
0005.HK,2025-09-19,106.032
0005.HK,2025-09-26,105.933
0005.HK,2025-10-03,109.11
0005.HK,2025-10-10,102.756
0005.HK,2025-10-17,100.175
0005.HK,2025-10-24,102.359
0005.HK,2025-10-31,107.323
0005.HK,2025-11-07,110
0005.HK,2025-11-14,112.9
0005.HK,2025-11-21,105.1
0005.HK,2025-11-28,109.3
0005.HK,2025-12-05,111
0005.HK,2025-12-12,117.3
0005.HK,2025-12-19,119.3
0005.HK,2025-12-24,123.9
0005.HK,2026-01-02,124.3
0005.HK,2026-01-09,124.8
0005.HK,2026-01-16,128.5
0005.HK,2026-01-23,130
0005.HK,2026-01-29,137.6
AAPL,2025-08-01,201.95
AAPL,2025-08-08,228.87
AAPL,2025-08-15,231.37
AAPL,2025-08-22,227.54
AAPL,2025-08-29,231.92
AAPL,2025-09-05,239.46
AAPL,2025-09-12,233.84
AAPL,2025-09-19,245.26
AAPL,2025-09-26,255.21
AAPL,2025-10-03,257.77
AAPL,2025-10-10,245.03
AAPL,2025-10-17,252.05
AAPL,2025-10-24,262.57
AAPL,2025-10-31,270.11
AAPL,2025-11-07,268.21
AAPL,2025-11-14,272.41
AAPL,2025-11-21,271.49
AAPL,2025-11-28,278.85
AAPL,2025-12-05,278.78
AAPL,2025-12-12,278.28
AAPL,2025-12-19,273.67
AAPL,2025-12-26,273.4
AAPL,2026-01-02,271.01
AAPL,2026-01-09,259.37
AAPL,2026-01-16,255.53
AAPL,2026-01-23,248.04
AAPL,2026-01-29,258.28
AMZN,2025-08-01,214.75
AMZN,2025-08-08,222.69
AMZN,2025-08-15,231.03
AMZN,2025-08-22,228.84
AMZN,2025-08-29,229
AMZN,2025-09-05,232.33
AMZN,2025-09-12,228.15
AMZN,2025-09-19,231.48
AMZN,2025-09-26,219.78
AMZN,2025-10-03,219.51
AMZN,2025-10-10,216.37
AMZN,2025-10-17,213.04
AMZN,2025-10-24,224.21
AMZN,2025-10-31,244.22
AMZN,2025-11-07,244.41
AMZN,2025-11-14,234.69
AMZN,2025-11-21,220.69
AMZN,2025-11-28,233.22
AMZN,2025-12-05,229.53
AMZN,2025-12-12,226.19
AMZN,2025-12-19,227.35
AMZN,2025-12-26,232.52
AMZN,2026-01-02,226.5
AMZN,2026-01-09,247.38
AMZN,2026-01-16,239.12
AMZN,2026-01-23,239.16
AMZN,2026-01-29,241.73
AUDUSD=X,2025-08-01,0.6429
AUDUSD=X,2025-08-08,0.6526
AUDUSD=X,2025-08-15,0.6498
AUDUSD=X,2025-08-22,0.6425
AUDUSD=X,2025-08-29,0.6532
AUDUSD=X,2025-09-05,0.6522
AUDUSD=X,2025-09-12,0.6668
AUDUSD=X,2025-09-19,0.6618
AUDUSD=X,2025-09-26,0.6537
AUDUSD=X,2025-10-03,0.6598
AUDUSD=X,2025-10-10,0.6561
AUDUSD=X,2025-10-17,0.6482
AUDUSD=X,2025-10-24,0.6515
AUDUSD=X,2025-10-31,0.6559
AUDUSD=X,2025-11-07,0.6484
AUDUSD=X,2025-11-14,0.6529
AUDUSD=X,2025-11-21,0.6449
AUDUSD=X,2025-11-28,0.6536
AUDUSD=X,2025-12-05,0.6606
AUDUSD=X,2025-12-12,0.6665
AUDUSD=X,2025-12-19,0.6614
AUDUSD=X,2025-12-26,0.6706
AUDUSD=X,2026-01-02,0.6678
AUDUSD=X,2026-01-09,0.6701
AUDUSD=X,2026-01-16,0.6704
AUDUSD=X,2026-01-23,0.6841
AUDUSD=X,2026-01-30,0.7047
BIPIX,2025-08-01,40.44
BIPIX,2025-08-08,40.11
BIPIX,2025-08-15,43.77
BIPIX,2025-08-22,43.93
BIPIX,2025-08-29,43.11
BIPIX,2025-09-05,47.15
BIPIX,2025-09-12,46.09
BIPIX,2025-09-19,47.16
BIPIX,2025-09-26,48.93
BIPIX,2025-10-03,53.09
BIPIX,2025-10-10,54.1
BIPIX,2025-10-17,56.24
BIPIX,2025-10-24,56.67
BIPIX,2025-10-31,60.11
BIPIX,2025-11-07,57.02
BIPIX,2025-11-14,60.9
BIPIX,2025-11-21,62.94
BIPIX,2025-11-28,68.25
BIPIX,2025-12-05,68.36
BIPIX,2025-12-12,68.06
BIPIX,2025-12-19,68.28
BIPIX,2025-12-26,69.86
BIPIX,2026-01-02,66.95
BIPIX,2026-01-09,69.32
BIPIX,2026-01-16,69.01
BIPIX,2026-01-23,72.09
BIPIX,2026-01-29,70.97
BIPSX,2025-08-01,21.05
BIPSX,2025-08-08,20.87
BIPSX,2025-08-15,22.76
BIPSX,2025-08-22,22.84
BIPSX,2025-08-29,22.41
BIPSX,2025-09-05,24.51
BIPSX,2025-09-12,23.95
BIPSX,2025-09-19,24.5
BIPSX,2025-09-26,25.41
BIPSX,2025-10-03,27.58
BIPSX,2025-10-10,28.1
BIPSX,2025-10-17,29.21
BIPSX,2025-10-24,29.42
BIPSX,2025-10-31,31.19
BIPSX,2025-11-07,29.59
BIPSX,2025-11-14,31.59
BIPSX,2025-11-21,32.65
BIPSX,2025-11-28,35.39
BIPSX,2025-12-05,35.44
BIPSX,2025-12-12,35.28
BIPSX,2025-12-19,35.4
BIPSX,2025-12-26,36.21
BIPSX,2026-01-02,34.7
BIPSX,2026-01-09,35.92
BIPSX,2026-01-16,35.75
BIPSX,2026-01-23,37.34
BIPSX,2026-01-29,36.75
BTC-USD,2025-08-01,113320.09
BTC-USD,2025-08-08,116688.73
BTC-USD,2025-08-15,117398.35
BTC-USD,2025-08-22,116874.09
BTC-USD,2025-08-29,108410.84
BTC-USD,2025-09-05,110650.98
BTC-USD,2025-09-12,116101.58
BTC-USD,2025-09-19,115688.86
BTC-USD,2025-09-26,109712.83
BTC-USD,2025-10-03,122266.53
BTC-USD,2025-10-10,113214.37
BTC-USD,2025-10-17,106467.79
BTC-USD,2025-10-24,111033.92
BTC-USD,2025-10-31,109556.16
BTC-USD,2025-11-07,103372.41
BTC-USD,2025-11-14,94397.79
BTC-USD,2025-11-21,85090.69
BTC-USD,2025-11-28,90919.27
BTC-USD,2025-12-05,89387.76
BTC-USD,2025-12-12,90270.41
BTC-USD,2025-12-19,88103.38
BTC-USD,2025-12-26,87301.43
BTC-USD,2026-01-02,89944.7
BTC-USD,2026-01-09,90513.1
BTC-USD,2026-01-16,95525.12
BTC-USD,2026-01-23,89503.88
BTC-USD,2026-01-30,84128.66
ETH-USD,2025-08-01,3488.37
